"1";"1924"                                                                            
"2";"3475"                                                                            
"3";"5544"                                                                            
"4";"7009"                                                                            
"5";"8903"                                                                            
"6";"10371"                                                                           
"7";"12170"                                                                           
"8";"14311"                                                                           
"9";"16322"                                                                           
"10";"18476"                                                                          
"11";"20162"                                                                          
"12";"22131"                                                                          
"13";"24089"                                                                          
"14";"25629"                                                                          
"15";"27620"                                                                          
"16";"29515"                                                                          
"17";"31406"                                                                          
"18";"33343"                                                                          
"19";"35057"                                                                          
"20";"36729"                                                                          
"21";"38566"                                                                          
"22";"40508"                                                                          
"23";"42406"                                                                          
"24";"44580"                                                                          
"25";"46383"                                                                          
"26";"48400"                                                                          
"27";"50105"                                                                          
"28";"52383"                                                                          
"29";"54019"                                                                          
"30";"55580"                                                                          
"31";"57542"                                                                          
"32";"59023"                                                                          
"33";"60942"                                                                          
"34";"62987"                                                                          
"35";"65041"                                                                          
"36";"66891"                                                                          
"37";"68906"                                                                          
"38";"71104"                                                                          
"39";"73167"                                                                          
"40";"74862"                                                                          
"41";"76618"                                                                          
"42";"78350"                                                                          
"43";"79917"                                                                          
"44";"82130"                                                                          
"45";"83829"                                                                          
"46";"85378"                                                                          
"47";"87205"                                                                          
"48";"89357"                                                                          
"49";"92380"                                                                          
"50";"95811"                                                                          
"51";"100180"                                                                         
"52";"101224"                                                                         

