"1";"1924"                                                                            
"2";"1551"                                                                            
"3";"2069"                                                                            
"4";"1465"                                                                            
"5";"1894"                                                                            
"6";"1468"                                                                            
"7";"1799"                                                                            
"8";"2141"                                                                            
"9";"2011"                                                                            
"10";"2154"                                                                           
"11";"1686"                                                                           
"12";"1969"                                                                           
"13";"1958"                                                                           
"14";"1540"                                                                           
"15";"1991"                                                                           
"16";"1895"                                                                           
"17";"1891"                                                                           
"18";"1937"                                                                           
"19";"1714"                                                                           
"20";"1672"                                                                           
"21";"1837"                                                                           
"22";"1942"                                                                           
"23";"1898"                                                                           
"24";"2174"                                                                           
"25";"1803"                                                                           
"26";"2017"                                                                           
"27";"1705"                                                                           
"28";"2278"                                                                           
"29";"1636"                                                                           
"30";"1561"                                                                           
"31";"1962"                                                                           
"32";"1481"                                                                           
"33";"1919"                                                                           
"34";"2045"                                                                           
"35";"2054"                                                                           
"36";"1850"                                                                           
"37";"2015"                                                                           
"38";"2198"                                                                           
"39";"2063"                                                                           
"40";"1695"                                                                           
"41";"1756"                                                                           
"42";"1732"                                                                           
"43";"1567"                                                                           
"44";"2213"                                                                           
"45";"1699"                                                                           
"46";"1549"                                                                           
"47";"1827"                                                                           
"48";"2152"                                                                           
"49";"3023"                                                                           
"50";"3431"                                                                           
"51";"4369"                                                                           
"52";"1044"                                                                           

